ur	ùr	13
ių	ių̃	134
em	ém	3
aei	ãei	1
uo	úo	189
on	òn	12
un	uñ	13
om	õm	2
ai	aĩ	998
įei	įeĩ	5
a	á	1
a	à	2598
a	ã	1196
il	il̃	20
eė	eė́	1
ar	ár	145
e	é	4
ul	ul̃	4
e	è	813
ar	ar̃	450
uei	ueĩ	5
įė	įė̃	5
i	ì	2792
iu	iù	297
iem	íem	18
ą	ą̃	212
ą	ą́	19
iai	iái	2
aau	aáu	1
iom	ióm	2
ėl	ė̃l	75
il	ìl	69
am	ám	82
aei	aeĩ	2
u	ù	1831
aei	àei	8
au	áu	289
er	èr	1
al	al̃	56
y	ỹ	948
om	óm	3
ią	ią̃	48
y	ý	528
iur	iur̃	1
iuo	iúo	40
ėm	ė́m	2
am	am̃	59
ii	ìi	2
iol	iõl	1
ie	iẽ	574
ua	uã	7
iil	iìl	2
ė	ė̃	238
ė	ė́	839
į	į̃	392
į	į́	30
er	ér	49
aai	aái	6
um	ùm	54
uė	ùė	1
en	eñ	109
ea	eã	2
or	õr	4
ea	eà	1
io	iõ	73
io	iò	2
io	ió	28
iun	iuñ	1
iau	iáu	89
iel	ìel	1
ien	iẽn	7
in	ìn	135
ir	ir̃	277
un	ùn	17
iar	iar̃	2
ur	ur̃	69
eu	eù	2
ian	iañ	31
ėm	ė̃m	1
uė	uė̃	5
iė	iė̃	11
or	òr	20
eį	eį̃	1
ę	ę́	1
ę	ę̃	43
an	án	308
iė	ìė	4
iei	ieĩ	1
an	añ	171
el	él	24
ui	uĩ	6
om	òm	1
uo	uõ	183
ol	õl	9
aim	aim̃	7
ie	íe	245
au	aũ	539
or	ór	25
iū	iū́	11
ei	eĩ	267
iū	iū̃	15
ou	òu	2
o	ó	925
ia	iã	21
o	ò	607
o	õ	614
ia	ià	100
iur	iùr	1
aė	àė	8
iel	iel̃	1
iom	iõm	2
eie	eíe	1
oe	oè	1
ul	ùl	9
iim	iim̃	5
ol	òl	7
ų	ų̃	217
ai	ái	187
ū	ū́	203
ū	ū̃	126
iuo	iuõ	38
in	iñ	135
eei	eeĩ	1
er	er̃	112
im	ìm	2
al	ál	174
en	én	65
ui	ùi	1
im	im̃	21
iam	iam̃	1
el	el̃	9
ier	iér	1
iau	iaũ	166
iui	iuĩ	4
yn	ỹn	6
e	ẽ	627
iai	iaĩ	70
ei	éi	173
iam	iám	6
ir	ìr	83
aė	aė̃	6
iun	iùn	1
